#,Title,Synergy Tags,Result,Team,Pd.,Clock,Player,Synergy String
96,Carter Seeberger,"Offense, Off Reb, Off Reb",Run Offense,Elmira,1,2:19,Carter Seeberger,10 Carter Seeberger > Offensive Rebound > Long > Run Offense
97,Tyler Cardello,"Offense, Off Screen, 2FGm",Miss 2 Pts,Elmira,1,2:03,Tyler Cardello,30 Tyler Cardello > Off Screen > To Shooter's Right > Flare > Dribble Jumper > Short to < 17' > Miss 2 Pts
98,Brock Bowen,"Offense, Defense, P&R BH, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,1,1:46,Brock Bowen,10 Brock Bowen > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
99,Dylan Jacob,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,Elmira,1,1:37,Dylan Jacob,1 Dylan Jacob > Transition > Ballhandler > To Basket > Miss 2 Pts
100,Zac Ditzel,"Offense, Defense, Transition, 2FGM, Foul, Assist",1 Pts,Rochester Institute of Technology Tigers,1,1:32,Zac Ditzel,20 Zac Ditzel > Transition > Left Wing > To Basket > Make 2 Pts Foul > 1 Pts
101,Zac Ditzel,"Offense, FTM",Free Throw,Rochester Institute of Technology Tigers,1,1:32,Zac Ditzel,20 Zac Ditzel > Non Possession > Free Throw
102,Dylan Jacob,,No Violation,Elmira,,,Dylan Jacob,1 Dylan Jacob > Non Possession > No Violation
103,Tyler Cardello,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Elmira,1,1:09,Tyler Cardello,30 Tyler Cardello > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
104,Matt Caggiano,"Offense, Defense, Transition Turnover, Turnover, Steal",Turnover,Rochester Institute of Technology Tigers,1,0:57,Matt Caggiano,5 Matt Caggiano > Transition > Ballhandler > Turnover
105,Carter Seeberger,"Offense, Defense, Transition, Foul",Foul,Elmira,1,0:54,Carter Seeberger,10 Carter Seeberger > Transition > First Middle > To Basket > Foul
106,Carter Seeberger,"Offense, FTM",Free Throw,Elmira,1,0:54,Carter Seeberger,10 Carter Seeberger > Non Possession > Free Throw
107,Carter Seeberger,"Offense, Defense, FTm, Def Reb",Free Throw,Elmira,1,0:53,Carter Seeberger,10 Carter Seeberger > Non Possession > Free Throw
108,Brock Bowen,"Offense, Off Screen, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,1,0:38,Brock Bowen,10 Brock Bowen > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
109,Tyler Cardello,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,Elmira,1,0:05,Tyler Cardello,30 Tyler Cardello > Spot-Up > Drives Right > To Basket > Miss 2 Pts
110,Brock Bowen,"Offense, Transition, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,1,,Brock Bowen,10 Brock Bowen > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
111,Owen Evans,"Offense, Spot Up, 3FGm",Miss 3 Pts,Elmira,2,20:00,Owen Evans,22 Owen Evans > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
112,Dylan Jacob,"Offense, Defense, Off Reb, 2FGm, Off Reb, Def Reb",Miss 2 Pts,Elmira,2,19:47,Dylan Jacob,1 Dylan Jacob > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts
113,Kenny Wilburn,"Offense, Defense, Post Up, 2FGm, Def Reb",Miss 2 Pts,Rochester Institute of Technology Tigers,2,19:29,Kenny Wilburn,3 Kenny Wilburn > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts
114,Tyler Cardello,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Elmira,2,19:07,Tyler Cardello,30 Tyler Cardello > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
115,Matt Caggiano,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,2,18:43,Matt Caggiano,5 Matt Caggiano > Cut > Basket > Make 2 Pts
116,Owen Evans,"Offense, Defense, Handoff, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,18:24,Owen Evans,22 Owen Evans > Hand Off > From Stationary > Top > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
117,Brock Bowen,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,2,18:16,Brock Bowen,10 Brock Bowen > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
118,Tyler Cardello,"Defense, Foul",Non Shooting Foul,Elmira,2,18:08,Tyler Cardello,30 Tyler Cardello > Non Possession > Non Shooting Foul
119,Riley Spencer,"Offense, Spot Up, 2FGM",Make 2 Pts,Elmira,2,18:03,Riley Spencer,14 Riley Spencer > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
120,Jackson Otis,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,2,17:47,Jackson Otis,25 Jackson Otis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
